Detection_Rate,N_Detected,Mean_Abundance,Median_Abundance,SD_Abundance,CV_Percent,Min_Abundance,Max_Abundance,Gene,Accession,Description
100.0,120,32155294.540466063,33058740.6118242,11439323.362641806,35.57524048876587,6610184.17512075,66801757.7440759,LRRC59,Q96AG4,Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1
100.0,120,19463813.512221977,18713946.9924315,7883157.495395193,40.5016082302941,6891397.28426788,57667088.1119806,PRDX1,Q06830,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1
100.0,120,232754285.1403934,223619858.928773,51224794.41910761,22.00809939469415,140907938.969307,620493433.542263,APOC3,B0YIW2,Apolipoprotein C-III OS=Homo sapiens OX=9606 GN=APOC3 PE=1 SV=1
100.0,120,904562769.0723839,882056551.3987634,193475883.58665583,21.388884243496175,465084427.462803,1426138150.28246,RAB10,P61026,Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1
100.0,120,277178415.9889527,263022254.469118,87253207.50751427,31.47907718434752,114760888.23476,581885856.319567,SERPINA3,P01011,Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2
100.0,120,206653076.27669135,189221299.91911602,60701317.11631229,29.373536658626005,110242764.87275,390720593.852501,RPS27A,P62979,Ubiquitin-ribosomal protein eS31 fusion protein OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2
100.0,120,355921126.66835594,343109789.2131455,111092374.22989947,31.212638392610597,149004562.878215,844060513.108265,ORM1,P02763,Alpha-1-acid glycoprotein 1 OS=Homo sapiens OX=9606 GN=ORM1 PE=1 SV=2
100.0,120,216442365.92356655,197719035.5225165,139959957.9685526,64.6638459025057,98427515.2726792,1609617809.54568,SERPINA4,P29622,Kallistatin OS=Homo sapiens OX=9606 GN=SERPINA4 PE=1 SV=3
100.0,120,89459347.51190059,78278485.03284389,54387055.76759073,60.79527436789737,12969311.6044933,396043451.70108,IGHA2,A0A0G2JMB2,Immunoglobulin heavy constant alpha 2 (A2m marker) (Fragment) OS=Homo sapiens OX=9606 GN=IGHA2 PE=1 SV=1
100.0,120,51238927.615810156,51176342.05816585,12250493.521844095,23.908567356636308,21892810.7383185,97400363.9154027,EIF5,P55010,Eukaryotic translation initiation factor 5 OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=2
100.0,120,146639355.41396663,129420833.6896525,141244769.04037744,96.32118788413919,58994313.8765552,1611580516.58283,DSC1,Q08554,Desmocollin-1 OS=Homo sapiens OX=9606 GN=DSC1 PE=1 SV=2
100.0,120,310734047.1776876,300562988.00027204,60639792.939726315,19.51501404191172,227671985.837273,659928800.382837,C5,P01031,Complement C5 OS=Homo sapiens OX=9606 GN=C5 PE=1 SV=4
100.0,120,131046962.71833394,130863408.7976235,23760537.33428912,18.131314790834853,63722206.4489091,205173211.881587,AGT,A0A7P0T8D1,Angiotensinogen OS=Homo sapiens OX=9606 GN=AGT PE=1 SV=1
100.0,120,2627966897.8045497,2562935473.587765,578508077.9372767,22.013522256333314,1142028312.28835,4338707998.28132,CAP1,Q01518,Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5
100.0,120,1587445290.876459,1545639586.528895,320125965.8804582,20.166110146933665,764987003.143979,2588637789.35781,MYH9,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4
100.0,120,22522151.82385323,22083156.27075945,4683140.032684605,20.793483985507493,13547986.2504314,37639427.7900763,BTF3L4,Q96K17,Transcription factor BTF3 homolog 4 OS=Homo sapiens OX=9606 GN=BTF3L4 PE=1 SV=1
100.0,120,460126524.2986347,445450426.57301795,174845729.788208,37.99948939147188,136772187.216197,1955823909.11319,A1BG,P04217,Alpha-1B-glycoprotein OS=Homo sapiens OX=9606 GN=A1BG PE=1 SV=4
100.0,120,311543523.75102097,309784245.6144475,55254197.940941066,17.73562720087196,203282828.461741,530692782.772079,QSOX1,O00391,Sulfhydryl oxidase 1 OS=Homo sapiens OX=9606 GN=QSOX1 PE=1 SV=3
100.0,120,224318720.66259423,220165075.16244048,40158625.239893615,17.902484964818267,126151189.017205,314809968.29751,NCL,H7BY16,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=9
100.0,120,64637033.263907105,64536804.85119535,23788132.22758311,36.80263623866884,13107763.7908763,135111826.904066,ADD1,P35611,Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2
100.0,120,801691794.4267764,786801078.4980055,196681796.73435837,24.533342875860328,427233921.933587,1389160632.0064,CLIC1,O00299,Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4
100.0,120,36332663.83741714,34792224.08840505,14406108.358207453,39.65057013895949,16314494.6719529,118923128.56604,APCS,P02743,Serum amyloid P-component OS=Homo sapiens OX=9606 GN=APCS PE=1 SV=2
100.0,120,376383638.4215128,376538198.3276565,88507371.34087236,23.515201593793186,165951114.956042,737881334.234278,PROS1,P07225,Vitamin K-dependent protein S OS=Homo sapiens OX=9606 GN=PROS1 PE=1 SV=1
