Gene,Accession,Description,Log2FC,P_value,FDR,Cohens_d
SAMD9,Q5K651,Sterile alpha motif domain-containing protein 9 OS=Homo sapiens OX=9606 GN=SAMD9 PE=1 SV=1,2.3445885741580703,1.8588207387034615e-16,2.4675845306288454e-14,2.94641812830228
STX12,B1AJQ6,Syntaxin 12 (Fragment) OS=Homo sapiens OX=9606 GN=STX12 PE=1 SV=2,2.9265093827664366,4.551680022138721e-20,1.4501652550533967e-17,3.580376295656341
ATP6V0A4,Q9HBG4,V-type proton ATPase 116 kDa subunit a 4 OS=Homo sapiens OX=9606 GN=ATP6V0A4 PE=1 SV=2,1.5668416407438528,9.640162119084917e-08,3.93763545018007e-06,1.5727099917802576
TRMT11,Q7Z4G4,tRNA (guanine(10)-N(2))-methyltransferase homolog OS=Homo sapiens OX=9606 GN=TRMT11 PE=1 SV=1,-2.8492022655996756,1.4222372138682106e-29,1.1328119408460297e-26,-5.615776139465505
TENT4B,A0A7N4YH79,Terminal nucleotidyltransferase 4B OS=Homo sapiens OX=9606 GN=TENT4B PE=1 SV=1,1.9874848630049904,1.3766381478060014e-09,7.562015756741243e-08,1.857830115622807
MAP9,Q49MG5,Microtubule-associated protein 9 OS=Homo sapiens OX=9606 GN=MAP9 PE=1 SV=3,1.390550317944303,0.0014862866112834861,0.011382954671993238,0.8613938512595103
DCLK3,A0A1B0GTZ4,non-specific serine/threonine protein kinase OS=Homo sapiens OX=9606 GN=DCLK3 PE=1 SV=1,0.8633525309227394,8.966525720868853e-06,0.00016804324086287155,1.25751098005986
CEP164,Q9UPV0,Centrosomal protein of 164 kDa OS=Homo sapiens OX=9606 GN=CEP164 PE=1 SV=3,-2.7191782782732474,3.695336858776641e-09,1.8395848800097465e-07,-1.7919181949983332
SPATS2L,Q9NUQ6,SPATS2-like protein OS=Homo sapiens OX=9606 GN=SPATS2L PE=1 SV=2,1.0326347726479348,0.00026614883057756664,0.002977878893861723,1.0027944964503495
ZBTB24,A0A8V8TLS8,Zinc finger and BTB domain containing 24 OS=Homo sapiens OX=9606 GN=ZBTB24 PE=1 SV=1,2.2821222351562653,0.00031837395887632626,0.0034038236006039444,0.9885575321031834
PLXDC1,Q8IUK5,Plexin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PLXDC1 PE=1 SV=2,-1.1356815701733574,0.0004007785799875211,0.004172812273987719,-0.9701168258470789
DCANP1,Q8TF63,Dendritic cell nuclear protein 1 OS=Homo sapiens OX=9606 GN=DCANP1 PE=1 SV=1,1.2442850604275648,0.0001822532257155049,0.0022506154152310024,1.0325660126684273
ZNF41,P51814,Zinc finger protein 41 OS=Homo sapiens OX=9606 GN=ZNF41 PE=1 SV=2,-1.2529618097571387,2.7981216830321397e-05,0.00045952658155362874,-1.1746064627529504
GOLGA4,C9J0Y3,Golgin A4 OS=Homo sapiens OX=9606 GN=GOLGA4 PE=1 SV=2,1.390550317944303,0.0014862866112834861,0.011382954671993238,0.8613938512595103
TNPO1,Q92973,Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2,2.3411521155816697,1.2979265618722107e-09,7.384275046651541e-08,1.8617577257872435
SMARCD2,Q92925,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens OX=9606 GN=SMARCD2 PE=1 SV=3,-0.8710617378140562,0.004842049734789393,0.027947047925795297,-0.7564927291848422
